case_id, activity, enable_time, start_time, end_time, resource
92,Sequence A,2023-11-02 17:52:00.669776+00:00,2023-11-02 20:14:43.250349+00:00,2023-11-02 20:26:48.945165+00:00,Default resource profile 1_1
93,Sequence A,2023-11-02 17:53:13.153096+00:00,2023-11-02 20:22:49.987416+00:00,2023-11-02 20:35:16.289875+00:00,Default resource profile 1_2
31,Sequence B,2023-11-02 17:29:00.788366+00:00,2023-11-02 20:23:16.522377+00:00,2023-11-02 20:28:21.047765+00:00,Default resource profile 1_3
30,Sequence B,2023-11-02 17:33:33.051154+00:00,2023-11-02 20:28:21.047765+00:00,2023-11-02 20:32:59.626926+00:00,Default resource profile 1_3
32,Sequence B,2023-11-02 17:39:02.966163+00:00,2023-11-02 20:32:59.626926+00:00,2023-11-02 20:37:56.018557+00:00,Default resource profile 1_3
36,Sequence B,2023-11-02 17:39:17.537599+00:00,2023-11-02 20:37:56.018557+00:00,2023-11-02 20:43:11.290811+00:00,Default resource profile 1_3
33,Sequence B,2023-11-02 17:39:48.604018+00:00,2023-11-02 20:43:11.290811+00:00,2023-11-02 20:48:07.612909+00:00,Default resource profile 1_3
34,Sequence B,2023-11-02 17:41:55.688129+00:00,2023-11-02 20:48:07.612909+00:00,2023-11-02 20:52:49.783857+00:00,Default resource profile 1_3
38,Sequence B,2023-11-02 17:45:30.595514+00:00,2023-11-02 20:52:49.783857+00:00,2023-11-02 20:56:58.327213+00:00,Default resource profile 1_3
35,Sequence B,2023-11-02 17:46:19.635266+00:00,2023-11-02 20:56:58.327213+00:00,2023-11-02 21:02:24.282628+00:00,Default resource profile 1_3
39,Sequence B,2023-11-02 17:53:15.392007+00:00,2023-11-02 21:02:24.282628+00:00,2023-11-02 21:06:35.196767+00:00,Default resource profile 1_3
37,Sequence B,2023-11-02 17:55:59.346447+00:00,2023-11-02 21:06:35.196767+00:00,2023-11-02 21:11:01.297861+00:00,Default resource profile 1_3
94,Sequence A,2023-11-02 17:54:31.949741+00:00,2023-11-02 20:23:28.609929+00:00,2023-11-02 20:33:21.187963+00:00,Default resource profile 1_4
7,Sequence C,2023-11-02 17:54:35.538217+00:00,2023-11-02 20:26:48.945165+00:00,2023-11-02 20:52:30.340728+00:00,Default resource profile 1_1
95,Sequence A,2023-11-02 17:55:29.572693+00:00,2023-11-02 20:29:45.141450+00:00,2023-11-02 20:39:30.049912+00:00,Default resource profile 1_0
96,Sequence A,2023-11-02 17:56:33.138406+00:00,2023-11-02 20:33:21.187963+00:00,2023-11-02 20:43:16.332554+00:00,Default resource profile 1_4
97,Sequence A,2023-11-02 17:57:46.487761+00:00,2023-11-02 20:35:16.289875+00:00,2023-11-02 20:48:11.363240+00:00,Default resource profile 1_2
98,Sequence A,2023-11-02 17:58:38.516394+00:00,2023-11-02 20:39:30.049912+00:00,2023-11-02 20:48:50.976275+00:00,Default resource profile 1_0
9,Sequence C,2023-11-02 17:59:24.458071+00:00,2023-11-02 20:43:16.332554+00:00,2023-11-02 20:58:34.816212+00:00,Default resource profile 1_4
99,Sequence A,2023-11-02 17:59:34.020381+00:00,2023-11-02 20:48:11.363240+00:00,2023-11-02 20:58:27.264899+00:00,Default resource profile 1_2
100,Sequence A,2023-11-02 18:00:36.799631+00:00,2023-11-02 20:48:50.976275+00:00,2023-11-02 21:03:27.847708+00:00,Default resource profile 1_0
101,Sequence A,2023-11-02 18:01:07.828241+00:00,2023-11-02 20:52:30.340728+00:00,2023-11-02 21:05:44.434600+00:00,Default resource profile 1_1
102,Sequence A,2023-11-02 18:02:06.852046+00:00,2023-11-02 20:58:27.264899+00:00,2023-11-02 21:16:38.320495+00:00,Default resource profile 1_2
103,Sequence A,2023-11-02 18:03:18.805760+00:00,2023-11-02 20:58:34.816212+00:00,2023-11-02 21:11:56.837455+00:00,Default resource profile 1_4
104,Sequence A,2023-11-02 18:04:20.306876+00:00,2023-11-02 21:03:27.847708+00:00,2023-11-02 21:13:56.105959+00:00,Default resource profile 1_0
8,Sequence C,2023-11-02 18:04:25.314456+00:00,2023-11-02 21:05:44.434600+00:00,2023-11-02 21:17:05.892578+00:00,Default resource profile 1_1
105,Sequence A,2023-11-02 18:05:23.472237+00:00,2023-11-02 21:11:01.297861+00:00,2023-11-02 21:21:45.662905+00:00,Default resource profile 1_3
106,Sequence A,2023-11-02 18:06:14.605801+00:00,2023-11-02 21:11:56.837455+00:00,2023-11-02 21:17:14.105298+00:00,Default resource profile 1_4
107,Sequence A,2023-11-02 18:07:07.267771+00:00,2023-11-02 21:13:56.105959+00:00,2023-11-02 21:31:07.079989+00:00,Default resource profile 1_0
108,Sequence A,2023-11-02 18:07:59.496305+00:00,2023-11-02 21:16:38.320495+00:00,2023-11-02 21:18:43.485647+00:00,Default resource profile 1_2
109,Sequence A,2023-11-02 18:08:47.870810+00:00,2023-11-02 21:17:05.892578+00:00,2023-11-02 21:19:36.858047+00:00,Default resource profile 1_1
110,Sequence A,2023-11-02 18:09:45.948219+00:00,2023-11-02 21:17:14.105298+00:00,2023-11-02 21:30:16.953304+00:00,Default resource profile 1_4
10,Sequence C,2023-11-02 18:10:07.711013+00:00,2023-11-02 21:18:43.485647+00:00,2023-11-02 21:55:22.542157+00:00,Default resource profile 1_2
111,Sequence A,2023-11-02 18:10:39.273905+00:00,2023-11-02 21:19:36.858047+00:00,2023-11-02 21:40:21.686519+00:00,Default resource profile 1_1
112,Sequence A,2023-11-02 18:11:33.142473+00:00,2023-11-02 21:21:45.662905+00:00,2023-11-02 21:33:58.978845+00:00,Default resource profile 1_3
113,Sequence A,2023-11-02 18:12:21.907873+00:00,2023-11-02 21:30:16.953304+00:00,2023-11-02 21:33:52.382086+00:00,Default resource profile 1_4
114,Sequence A,2023-11-02 18:13:48.770989+00:00,2023-11-02 21:31:07.079989+00:00,2023-11-02 21:43:12.318843+00:00,Default resource profile 1_0
115,Sequence A,2023-11-02 18:14:30.998871+00:00,2023-11-02 21:33:52.382086+00:00,2023-11-02 21:46:10.898647+00:00,Default resource profile 1_4
116,Sequence A,2023-11-02 18:15:20.891976+00:00,2023-11-02 21:33:58.978845+00:00,2023-11-02 21:37:23.443406+00:00,Default resource profile 1_3
11,Sequence C,2023-11-02 18:15:25.009333+00:00,2023-11-02 21:37:23.443406+00:00,2023-11-02 21:59:12.863168+00:00,Default resource profile 1_3
41,Sequence B,2023-11-02 17:59:31.024784+00:00,2023-11-02 21:40:21.686519+00:00,2023-11-02 21:44:51.289925+00:00,Default resource profile 1_1
42,Sequence B,2023-11-02 18:01:49.868703+00:00,2023-11-02 21:44:51.289925+00:00,2023-11-02 21:49:30.561830+00:00,Default resource profile 1_1
43,Sequence B,2023-11-02 18:03:56.109650+00:00,2023-11-02 21:49:30.561830+00:00,2023-11-02 21:54:24.404643+00:00,Default resource profile 1_1
44,Sequence B,2023-11-02 18:04:36.592177+00:00,2023-11-02 21:54:24.404643+00:00,2023-11-02 22:00:36.222903+00:00,Default resource profile 1_1
40,Sequence B,2023-11-02 18:04:40.255854+00:00,2023-11-02 22:00:36.222903+00:00,2023-11-02 22:05:05.393992+00:00,Default resource profile 1_1
46,Sequence B,2023-11-02 18:09:30.042798+00:00,2023-11-02 22:05:05.393992+00:00,2023-11-02 22:09:56.293053+00:00,Default resource profile 1_1
